Gene;Androgen human and mouse;Estrogen human and mouse and rat;Glucocorticoid human and mouse and rat;Peroxisome proliferator-activated receptor human and mouse and rat;Progesterone receptor human and mouse;RA human and mouse;Thyroid hormone only mouse
Olfr786;;;;;;;Thyroid hormone
Olfr1199;;;;;;;Thyroid hormone
Wbscr27;;;;;;;Thyroid hormone
1810011O10Rik;;;;;;;Thyroid hormone
Tssc1;;;;;;;Thyroid hormone
Hamp2;;;;;;;Thyroid hormone
Efna2;;;;;;;Thyroid hormone
Fam178a;;;;;;;Thyroid hormone
Fam132a;;;;;;;Thyroid hormone
Gm15612;;;;;;;Thyroid hormone
Pira4;;;;;;;Thyroid hormone
Ear12;;;;;;;Thyroid hormone
Mfsd4b3;;;;;;;Thyroid hormone
Crocc2;;;;;;;Thyroid hormone
Snord96a;;;;;;;Thyroid hormone
Prickle4;;;;;;;Thyroid hormone
1810041L15Rik;;;;;;;Thyroid hormone
Fthl17f;;;;;;;Thyroid hormone
Gm14015;;;;;;;Thyroid hormone
Gm5431;;;;;;;Thyroid hormone
Gm13363;;;;;;;Thyroid hormone
Vmn1r9;;;;;;;Thyroid hormone
Gm10439;;;;;;;Thyroid hormone
Oxct2b;;;;;;;Thyroid hormone
5830417I10Rik;;;;;;;Thyroid hormone
Gm5176;;;;;;;Thyroid hormone
Gm9949;;;;;;;Thyroid hormone
A830010M20Rik;;;;;;;Thyroid hormone
Sftpa1;;;;;;;Thyroid hormone
5730522E02Rik;;;;;;;Thyroid hormone
Trim80;;;;;;;Thyroid hormone
2200002J24Rik;;;;;;;Thyroid hormone
Clec12b;;;;;;;Thyroid hormone
Gm19619;;;;;;;Thyroid hormone
Gm4285;;;;;;;Thyroid hormone
Gm20324;;;;;;;Thyroid hormone
BC024978;;;;;;;Thyroid hormone
AI463170;;;;;;;Thyroid hormone
Gm20300;;;;;;;Thyroid hormone
Apitd1;;;;;;;Thyroid hormone
9430020K01Rik;;;;;;;Thyroid hormone
1810011H11Rik;;;;;;;Thyroid hormone
Olfr290;;;;;;;Thyroid hormone
Olfr1465;;;;;;;Thyroid hormone
Gm6034;;;;;;;Thyroid hormone
Gm4925;;;;;;;Thyroid hormone
Olfr310;;;;;;;Thyroid hormone
Olfr213;;;;;;;Thyroid hormone
Olfr1252;;;;;;;Thyroid hormone
Slc22a13b-ps;;;;;;;Thyroid hormone
Olfr9;;;;;;;Thyroid hormone
Lrfn5;;;;;;;Thyroid hormone
A830080D01Rik;;;;;;;Thyroid hormone
1700025H01Rik;;;;;;;Thyroid hormone
Mroh5;;;;;;;Thyroid hormone
Ceacam16;;;;;;;Thyroid hormone
Spata22;;;;;;;Thyroid hormone
1700024P16Rik;;;;;;;Thyroid hormone
4933403O08Rik;;;;;;;Thyroid hormone
Gm15735;;;;;;;Thyroid hormone
A330017A19Rik;;;;;;;Thyroid hormone
5031434C07Rik;;;;;;;Thyroid hormone
Sult2a7;;;;;;;Thyroid hormone
Gm38457;;;;;;;Thyroid hormone
Gm19510;;;;;;;Thyroid hormone
Gm1647;;;;;;;Thyroid hormone
Gm6132;;;;;;;Thyroid hormone
Gm4997;;;;;;;Thyroid hormone
Gm2568;;;;;;;Thyroid hormone
Gm13653;;;;;;;Thyroid hormone
Rhox6;;;;;;;Thyroid hormone
43525;;;;;;;Thyroid hormone
Clec2h;;;;;;;Thyroid hormone
Emx2os;;;;;;;Thyroid hormone
Obox1;;;;;;;Thyroid hormone
Adamts17;;;;;;;Thyroid hormone
Zfp457;;;;;;;Thyroid hormone
Pla2g1b;;;;;;;Thyroid hormone
Btnl10;;;;;;;Thyroid hormone
A230006K03Rik;;;;;;;Thyroid hormone
Gm4736;;;;;;;Thyroid hormone
Olfr331;;;;;;;Thyroid hormone
Gm340;;;;;;;Thyroid hormone
Gm14005;;;;;;;Thyroid hormone
Fam63a;;;;;;;Thyroid hormone
B3galt2;;;;;;;Thyroid hormone
Prkcdbp;;;;;;;Thyroid hormone
Gbas;;;;;;;Thyroid hormone
Aoah;;;;;;;Thyroid hormone
Gsg2;;;;;;;Thyroid hormone
Atg9b;;;;;;;Thyroid hormone
Igbp1b;;;;;;;Thyroid hormone
Xlr5c;;;;;;;Thyroid hormone
A730046J19Rik;;;;;;;Thyroid hormone
Tmem262;;;;;;;Thyroid hormone
3110021A11Rik;;;;;;;Thyroid hormone
Gm5129;;;;;;;Thyroid hormone
Zfp787;;;;;;;Thyroid hormone
Zfp282;;;;;;;Thyroid hormone
43531;;;;;;;Thyroid hormone
Vmn1r24;;;;;;;Thyroid hormone
Vmn1r229;;;;;;;Thyroid hormone
Olfr635;;;;;;;Thyroid hormone
Olfr107;;;;;;;Thyroid hormone
Olfr598;;;;;;;Thyroid hormone
Olfr1491;;;;;;;Thyroid hormone
Olfr93;;;;;;;Thyroid hormone
Olfr52;;;;;;;Thyroid hormone
Olfr450;;;;;;;Thyroid hormone
Fcrl5;;;;;;;Thyroid hormone
Olfr1301;;;;;;;Thyroid hormone
Olfr1298;;;;;;;Thyroid hormone
Olfr1294;;;;;;;Thyroid hormone
Olfr894;;;;;;;Thyroid hormone
Olfr1412;;;;;;;Thyroid hormone
Olfr802;;;;;;;Thyroid hormone
Olfr410;;;;;;;Thyroid hormone
Olfr1222;;;;;;;Thyroid hormone
Olfr1220;;;;;;;Thyroid hormone
Zfp963;;;;;;;Thyroid hormone
Olfr745;;;;;;;Thyroid hormone
Olfr731;;;;;;;Thyroid hormone
Gm1821;;;;;;;Thyroid hormone
Gm16740;;;;;;;Thyroid hormone
Gm11476;;;;;;;Thyroid hormone
Vmn2r56;;;;;;;Thyroid hormone
Vmn2r18;;;;;;;Thyroid hormone
4930592I03Rik;;;;;;;Thyroid hormone
BC067074;;;;;;;Thyroid hormone
C2cd4d;;;;;;;Thyroid hormone
4930432J09Rik;;;;;;;Thyroid hormone
6330415G19Rik;;;;;;;Thyroid hormone
4930594C11Rik;;;;;;;Thyroid hormone
4930539J05Rik;;;;;;;Thyroid hormone
4930474H20Rik;;;;;;;Thyroid hormone
4930447K03Rik;;;;;;;Thyroid hormone
Eldr;;;;;;;Thyroid hormone
C330006A16Rik;;;;;;;Thyroid hormone
A930005H10Rik;;;;;;;Thyroid hormone
BB031773;;;;;;;Thyroid hormone
Vmn1r48;;;;;;;Thyroid hormone
Gm5069;;;;;;;Thyroid hormone
Zfp72;;;;;;;Thyroid hormone
Tmem29;;;;;;;Thyroid hormone
Shc2;;;;;;;Thyroid hormone
Lelp1;;;;;;;Thyroid hormone
Zfp619;;;;;;;Thyroid hormone
Krtap4-6;;;;;;;Thyroid hormone
Klrb1b;;;;;;;Thyroid hormone
4932429P05Rik;;;;;;;Thyroid hormone
4930547E08Rik;;;;;;;Thyroid hormone
Sirpb1b;;;;;;;Thyroid hormone
Gm14762;;;;;;;Thyroid hormone
Gm13238;;;;;;;Thyroid hormone
4930447A16Rik;;;;;;;Thyroid hormone
Nespas;;;;;;;Thyroid hormone
4921513I03Rik;;;;;;;Thyroid hormone
Tchhl1;;;;;;;Thyroid hormone
3830408C21Rik;;;;;;;Thyroid hormone
Slc9a4;;;;;;;Thyroid hormone
1700018C11Rik;;;;;;;Thyroid hormone
Gltscr2;;;;;;;Thyroid hormone
4632404H12Rik;;;;;;;Thyroid hormone
Vmn1r62;;;;;;;Thyroid hormone
Gm10705;;;;;;;Thyroid hormone
B020031M17Rik;;;;;;;Thyroid hormone
Olfr681;;;;;;;Thyroid hormone
Olfr1162;;;;;;;Thyroid hormone
Gbp10;;;;;;;Thyroid hormone
Gm8909;;;;;;;Thyroid hormone
Apol7b;;;;;;;Thyroid hormone
Zfp983;;;;;;;Thyroid hormone
Methig1;;;;;;;Thyroid hormone
2300002M23Rik;;;;;;;Thyroid hormone
1700112E06Rik;;;;;;;Thyroid hormone
Slc6a19;;;;;;;Thyroid hormone
4930583K01Rik;;;;;;;Thyroid hormone
Tomt;;;;;;;Thyroid hormone
Cyp3a57;;;;;;;Thyroid hormone
Rhox2d;;;;;;;Thyroid hormone
C030016D13Rik;;;;;;;Thyroid hormone
1700055D18Rik;;;;;;;Thyroid hormone
E130018O15Rik;;;;;;;Thyroid hormone
Gm13178;;;;;;;Thyroid hormone
Csmd2;;;;;;;Thyroid hormone
Lrrtm4;;;;;;;Thyroid hormone
AI846148;;;;;;;Thyroid hormone
Enpp6;;;;;;;Thyroid hormone
5730508B09Rik;;;;;;;Thyroid hormone
Tcte1;;;;;;;Thyroid hormone
Gm10560;;;;;;;Thyroid hormone
Olfr1372-ps1;;;;;;;Thyroid hormone
Mansc4;;;;;;;Thyroid hormone
Ccdc152;;;;;;;Thyroid hormone
Gm3414;;;;;;;Thyroid hormone
H2-K2;;;;;;;Thyroid hormone
Phf11c;;;;;;;Thyroid hormone
Pira11;;;;;;;Thyroid hormone
Gm41;;;;;;;Thyroid hormone
Gm15401;;;;;;;Thyroid hormone
Gm13375;;;;;;;Thyroid hormone
Gm10768;;;;;;;Thyroid hormone
Teddm3;;;;;;;Thyroid hormone
Mrgpra1;;;;;;;Thyroid hormone
Lce1a1;;;;;;;Thyroid hormone
Zfp668;;;;;;;Thyroid hormone
Pou4f3;;;;;;;Thyroid hormone
Lcn8;;;;;;;Thyroid hormone
Slc22a22;;;;;;;Thyroid hormone
H2afy3;;;;;;;Thyroid hormone
Robo2;;;;;;;Thyroid hormone
Gprc6a;;;;;;;Thyroid hormone
Psg17;;;;;;;Thyroid hormone
Trhr2;;;;;;;Thyroid hormone
43532;;;;;;;Thyroid hormone
Slc22a19;;;;;;;Thyroid hormone
Defb5;;;;;;;Thyroid hormone
Cldn18;;;;;;;Thyroid hormone
GRB10;;;;;;Retinoic acid;Thyroid hormone
VGLL4;;;;;;Retinoic acid;Thyroid hormone
PIK3IP1;;;;;;Retinoic acid;Thyroid hormone
PBX1;;;;;;Retinoic acid;Thyroid hormone
TSHZ3;;;;;;Retinoic acid;Thyroid hormone
NDC80;;;;;;Retinoic acid;Thyroid hormone
TOX3;;;;;;Retinoic acid;Thyroid hormone
CDC45;;;;;;Retinoic acid;Thyroid hormone
ENPP4;;;;;;Retinoic acid;Thyroid hormone
CAPRIN2;;;;;;Retinoic acid;Thyroid hormone
PYCR1;;;;;;Retinoic acid;Thyroid hormone
RAD54B;;;;;;Retinoic acid;Thyroid hormone
PARP3;;;;;;Retinoic acid;Thyroid hormone
SLC16A2;;;;;;Retinoic acid;Thyroid hormone
TAF1A;;;;;;Retinoic acid;Thyroid hormone
NBEA;;;;;;Retinoic acid;Thyroid hormone
SLC25A32;;;;;;Retinoic acid;Thyroid hormone
PLA2G7;;;;;;Retinoic acid;Thyroid hormone
PRR16;;;;;;Retinoic acid;Thyroid hormone
ESRP2;;;;;;Retinoic acid;Thyroid hormone
TMTC2;;;;;;Retinoic acid;Thyroid hormone
TMEM117;;;;;;Retinoic acid;Thyroid hormone
ALG6;;;;;;Retinoic acid;Thyroid hormone
RPIA;;;;;;Retinoic acid;Thyroid hormone
PAM;;;;;;Retinoic acid;Thyroid hormone
CKAP2L;;;;;;Retinoic acid;Thyroid hormone
DBF4;;;;;;Retinoic acid;Thyroid hormone
ARL15;;;;;;Retinoic acid;Thyroid hormone
PTPN4;;;;;;Retinoic acid;Thyroid hormone
MAP3K5;;;;;;Retinoic acid;Thyroid hormone
MAN1C1;;;;;;Retinoic acid;Thyroid hormone
LRRC75A;;;;;;Retinoic acid;Thyroid hormone
TMEM184A;;;;;;Retinoic acid;Thyroid hormone
SLCO4A1;;;;;;Retinoic acid;Thyroid hormone
TBX3;;;;;;Retinoic acid;Thyroid hormone
PRKG2;;;;;;Retinoic acid;Thyroid hormone
NKRF;;;;;;Retinoic acid;Thyroid hormone
UBIAD1;;;;;;Retinoic acid;Thyroid hormone
DHX33;;;;;;Retinoic acid;Thyroid hormone
SLC4A11;;;;;;Retinoic acid;Thyroid hormone
TMEM125;;;;;;Retinoic acid;Thyroid hormone
SLC36A4;;;;;;Retinoic acid;Thyroid hormone
DPH2;;;;;;Retinoic acid;Thyroid hormone
DZANK1;;;;;;Retinoic acid;Thyroid hormone
SQSTM1;;;;;;Retinoic acid;Thyroid hormone
CRYBG3;;;;;;Retinoic acid;Thyroid hormone
GLIPR2;;;;;;Retinoic acid;Thyroid hormone
PIPOX;;;;;;Retinoic acid;Thyroid hormone
DGKH;;;;;;Retinoic acid;Thyroid hormone
SLC27A3;;;;;;Retinoic acid;Thyroid hormone
ADAP1;;;;;;Retinoic acid;Thyroid hormone
TBC1D24;;;;;;Retinoic acid;Thyroid hormone
EIF5A2;;;;;;Retinoic acid;Thyroid hormone
SIPA1;;;;;;Retinoic acid;Thyroid hormone
CTNNAL1;;;;;;Retinoic acid;Thyroid hormone
FGFR1OP;;;;;;Retinoic acid;Thyroid hormone
MEIS1;;;;;;Retinoic acid;Thyroid hormone
UPF1;;;;;;Retinoic acid;Thyroid hormone
SLC1A3;;;;;;Retinoic acid;Thyroid hormone
ZYG11A;;;;;;Retinoic acid;Thyroid hormone
PQLC2;;;;;;Retinoic acid;Thyroid hormone
SIK1;;;;;;Retinoic acid;Thyroid hormone
NIPAL2;;;;;;Retinoic acid;Thyroid hormone
TMC6;;;;;;Retinoic acid;Thyroid hormone
GALNT2;;;;;;Retinoic acid;Thyroid hormone
ASTE1;;;;;;Retinoic acid;Thyroid hormone
TNFRSF14;;;;;;Retinoic acid;Thyroid hormone
BCO2;;;;;;Retinoic acid;Thyroid hormone
GOLT1A;;;;;;Retinoic acid;Thyroid hormone
CPNE2;;;;;;Retinoic acid;Thyroid hormone
DOPEY2;;;;;;Retinoic acid;Thyroid hormone
VTCN1;;;;;;Retinoic acid;Thyroid hormone
SOAT2;;;;;;Retinoic acid;Thyroid hormone
PENK;;;;;;Retinoic acid;Thyroid hormone
B3GLCT;;;;;;Retinoic acid;Thyroid hormone
IZUMO4;;;;;;Retinoic acid;Thyroid hormone
TLE6;;;;;;Retinoic acid;Thyroid hormone
HOMER3;;;;;;Retinoic acid;Thyroid hormone
PLCB3;;;;;;Retinoic acid;Thyroid hormone
MT3;;;;;;Retinoic acid;Thyroid hormone
Tdrp;;;;;;Retinoic acid;Thyroid hormone
Lrrc58;;;;;;Retinoic acid;Thyroid hormone
Olig1;;;;;;Retinoic acid;Thyroid hormone
Tmem176b;;;;;;Retinoic acid;Thyroid hormone
Emilin2;;;;;;Retinoic acid;Thyroid hormone
Bckdhb;;;;;;Retinoic acid;Thyroid hormone
Afg1l;;;;;;Retinoic acid;Thyroid hormone
Selenon;;;;;;Retinoic acid;Thyroid hormone
Slc17a9;;;;;;Retinoic acid;Thyroid hormone
Prtn3;;;;;;Retinoic acid;Thyroid hormone
Cpeb1;;;;;;Retinoic acid;Thyroid hormone
Pltp;;;;;;Retinoic acid;Thyroid hormone
Olfm2;;;;;;Retinoic acid;Thyroid hormone
Qtrt1;;;;;;Retinoic acid;Thyroid hormone
Prodh;;;;;;Retinoic acid;Thyroid hormone
Ccdc43;;;;;;Retinoic acid;Thyroid hormone
Dtwd1;;;;;;Retinoic acid;Thyroid hormone
Alox5;;;;;;Retinoic acid;Thyroid hormone
Rasgrp3;;;;;;Retinoic acid;Thyroid hormone
Zfas1;;;;;;Retinoic acid;Thyroid hormone
P2ry13;;;;;;Retinoic acid;Thyroid hormone
Itfg2;;;;;;Retinoic acid;Thyroid hormone
Snx18;;;;;;Retinoic acid;Thyroid hormone
Tesc;;;;;;Retinoic acid;Thyroid hormone
Stx1a;;;;;;Retinoic acid;Thyroid hormone
Cox7a1;;;;;;Retinoic acid;Thyroid hormone
Tmem71;;;;;;Retinoic acid;Thyroid hormone
Dok2;;;;;;Retinoic acid;Thyroid hormone
Hsd17b14;;;;;;Retinoic acid;Thyroid hormone
Stk32a;;;;;;Retinoic acid;Thyroid hormone
Flrt2;;;;;;Retinoic acid;Thyroid hormone
Shpk;;;;;;Retinoic acid;Thyroid hormone
Snx32;;;;;;Retinoic acid;Thyroid hormone
Crybb3;;;;;;Retinoic acid;Thyroid hormone
Retn;;;;;;Retinoic acid;Thyroid hormone
SEMA4C;;;;;;Retinoic acid;Thyroid hormone
TBX2;;;;;;Retinoic acid;Thyroid hormone
PREX1;;;;;;Retinoic acid;Thyroid hormone
TSEN54;;;;;;Retinoic acid;Thyroid hormone
DGKE;;;;;;Retinoic acid;Thyroid hormone
SULF1;;;;;;Retinoic acid;Thyroid hormone
FLYWCH2;;;;;;Retinoic acid;Thyroid hormone
SLC7A6;;;;;;Retinoic acid;Thyroid hormone
ARHGEF10L;;;;;;Retinoic acid;Thyroid hormone
IL1RAP;;;;;;Retinoic acid;Thyroid hormone
SYNDIG1;;;;;;Retinoic acid;Thyroid hormone
BRPF1;;;;;;Retinoic acid;Thyroid hormone
TSPAN17;;;;;;Retinoic acid;Thyroid hormone
KNOP1;;;;;;Retinoic acid;Thyroid hormone
PKN3;;;;;;Retinoic acid;Thyroid hormone
SYDE2;;;;;;Retinoic acid;Thyroid hormone
SH3TC1;;;;;;Retinoic acid;Thyroid hormone
HGS;;;;;;Retinoic acid;Thyroid hormone
FOXP1;;;;;;Retinoic acid;Thyroid hormone
PEX2;;;;;;Retinoic acid;Thyroid hormone
CELSR1;;;;;;Retinoic acid;Thyroid hormone
FAM109A;;;;;;Retinoic acid;Thyroid hormone
REC8;;;;;;Retinoic acid;Thyroid hormone
ESYT2;;;;;;Retinoic acid;Thyroid hormone
DNAJC30;;;;;;Retinoic acid;Thyroid hormone
MAPK15;;;;;;Retinoic acid;Thyroid hormone
MAPRE3;;;;;;Retinoic acid;Thyroid hormone
ALG10B;;;;;;Retinoic acid;Thyroid hormone
RRP36;;;;;;Retinoic acid;Thyroid hormone
YAF2;;;;;;Retinoic acid;Thyroid hormone
DNAJC7;;;;;;Retinoic acid;Thyroid hormone
NENF;;;;;;Retinoic acid;Thyroid hormone
CD276;;;;;;Retinoic acid;Thyroid hormone
HPSE;;;;;;Retinoic acid;Thyroid hormone
OAS2;;;;;;Retinoic acid;Thyroid hormone
MFAP3;;;;;;Retinoic acid;Thyroid hormone
SELENOO;;;;;;Retinoic acid;Thyroid hormone
IGF2BP2;;;;;;Retinoic acid;Thyroid hormone
PLEKHG2;;;;;;Retinoic acid;Thyroid hormone
ZFP69;;;;;;Retinoic acid;Thyroid hormone
FAM162A;;;;;;Retinoic acid;Thyroid hormone
PAFAH2;;;;;;Retinoic acid;Thyroid hormone
USP28;;;;;;Retinoic acid;Thyroid hormone
DUSP28;;;;;;Retinoic acid;Thyroid hormone
CAMK2N2;;;;;;Retinoic acid;Thyroid hormone
CES4A;;;;;;Retinoic acid;Thyroid hormone
AGO1;;;;;;Retinoic acid;Thyroid hormone
PLEKHG6;;;;;;Retinoic acid;Thyroid hormone
WNT5B;;;;;;Retinoic acid;Thyroid hormone
SSBP4;;;;;;Retinoic acid;Thyroid hormone
FMNL2;;;;;;Retinoic acid;Thyroid hormone
CHRM3;;;;;;Retinoic acid;Thyroid hormone
DDX52;;;;;;Retinoic acid;Thyroid hormone
NIN;;;;;;Retinoic acid;Thyroid hormone
MRM1;;;;;;Retinoic acid;Thyroid hormone
AP5B1;;;;;;Retinoic acid;Thyroid hormone
KLF16;;;;;;Retinoic acid;Thyroid hormone
ISLR2;;;;;;Retinoic acid;Thyroid hormone
DCHS1;;;;;;Retinoic acid;Thyroid hormone
TPSG1;;;;;;Retinoic acid;Thyroid hormone
PSMA8;;;;;;Retinoic acid;Thyroid hormone
RASIP1;;;;;;Retinoic acid;Thyroid hormone
GREB1L;;;;;;Retinoic acid;Thyroid hormone
SIN3A;;;;;;Retinoic acid;Thyroid hormone
SLC43A3;;;;;;Retinoic acid;Thyroid hormone
INA;;;;;;Retinoic acid;Thyroid hormone
SKI;;;;;;Retinoic acid;Thyroid hormone
PHOSPHO1;;;;;;Retinoic acid;Thyroid hormone
MILR1;;;;;;Retinoic acid;Thyroid hormone
MZB1;;;;;;Retinoic acid;Thyroid hormone
FAM162B;;;;;;Retinoic acid;Thyroid hormone
NOL4L;;;;;;Retinoic acid;Thyroid hormone
SDS;;;;;;Retinoic acid;Thyroid hormone
LMTK2;;;;;;Retinoic acid;Thyroid hormone
RBM19;;;;;;Retinoic acid;Thyroid hormone
Nrg1;;;;;;Retinoic acid;Thyroid hormone
Arg1;;;;;;Retinoic acid;Thyroid hormone
Sp5;;;;;;Retinoic acid;Thyroid hormone
Fndc5;;;;;;Retinoic acid;Thyroid hormone
Tnnt3;;;;;;Retinoic acid;Thyroid hormone
Lrmp;;;;;;Retinoic acid;Thyroid hormone
Rassf6;;;;;;Retinoic acid;Thyroid hormone
Cd79b;;;;;;Retinoic acid;Thyroid hormone
Icam4;;;;;;Retinoic acid;Thyroid hormone
Marveld2;;;;;;Retinoic acid;Thyroid hormone
Frzb;;;;;;Retinoic acid;Thyroid hormone
Abcb11;;;;;;Retinoic acid;Thyroid hormone
Egflam;;;;;;Retinoic acid;Thyroid hormone
Gng2;;;;;;Retinoic acid;Thyroid hormone
Plk5;;;;;;Retinoic acid;Thyroid hormone
Tox;;;;;;Retinoic acid;Thyroid hormone
Mfsd9;;;;;;Retinoic acid;Thyroid hormone
Rnase1;;;;;;Retinoic acid;Thyroid hormone
Irak3;;;;;;Retinoic acid;Thyroid hormone
Wdr27;;;;;;Retinoic acid;Thyroid hormone
Hrg;;;;;;Retinoic acid;Thyroid hormone
Slc4a9;;;;;;Retinoic acid;Thyroid hormone
Zdhhc15;;;;;;Retinoic acid;Thyroid hormone
Amn;;;;;;Retinoic acid;Thyroid hormone
Hyal1;;;;;;Retinoic acid;Thyroid hormone
Ajap1;;;;;;Retinoic acid;Thyroid hormone
Glod5;;;;;;Retinoic acid;Thyroid hormone
Gys2;;;;;;Retinoic acid;Thyroid hormone
Helb;;;;;;Retinoic acid;Thyroid hormone
Nags;;;;;;Retinoic acid;Thyroid hormone
Gpat2;;;;;;Retinoic acid;Thyroid hormone
Hal;;;;;;Retinoic acid;Thyroid hormone
DHRS7C;;;;;;Retinoic acid;Thyroid hormone
TUNAR;;;;;;Retinoic acid;Thyroid hormone
Sucnr1;;;;;;Retinoic acid;Thyroid hormone
Acsl6;;;;;;Retinoic acid;Thyroid hormone
ZBTB7C;;;;;;Retinoic acid;Thyroid hormone
DKK4;;;;;;Retinoic acid;Thyroid hormone
Exd1;;;;;;Retinoic acid;Thyroid hormone
CLGN;;;;;;Retinoic acid;
LPAR3;;;;;;Retinoic acid;
SUSD6;;;;;;Retinoic acid;
HOXC9;;;;;;Retinoic acid;
HOXB13;;;;;;Retinoic acid;
SHROOM2;;;;;;Retinoic acid;
FAM110B;;;;;;Retinoic acid;
CDC6;;;;;;Retinoic acid;
NUAK1;;;;;;Retinoic acid;
PPP1R14C;;;;;;Retinoic acid;
LYN;;;;;;Retinoic acid;
POLR3GL;;;;;;Retinoic acid;
FBXO2;;;;;;Retinoic acid;
RETREG1;;;;;;Retinoic acid;
RMI2;;;;;;Retinoic acid;
CCDC14;;;;;;Retinoic acid;
KRT80;;;;;;Retinoic acid;
ARHGAP19;;;;;;Retinoic acid;
JPH1;;;;;;Retinoic acid;
TUSC1;;;;;;Retinoic acid;
YDJC;;;;;;Retinoic acid;
PODXL;;;;;;Retinoic acid;
LHX2;;;;;;Retinoic acid;
CHRNA5;;;;;;Retinoic acid;
MYB;;;;;;Retinoic acid;
P3H2;;;;;;Retinoic acid;
CHST7;;;;;;Retinoic acid;
PSD3;;;;;;Retinoic acid;
CENPH;;;;;;Retinoic acid;
HOXC4;;;;;;Retinoic acid;
HOXA1;;;;;;Retinoic acid;
BRSK1;;;;;;Retinoic acid;
TMSB15A;;;;;;Retinoic acid;
COL9A2;;;;;;Retinoic acid;
DIAPH2;;;;;;Retinoic acid;
ACVR1;;;;;;Retinoic acid;
FAM98C;;;;;;Retinoic acid;
NETO1;;;;;;Retinoic acid;
ORC1;;;;;;Retinoic acid;
GATA6;;;;;;Retinoic acid;
PNMA2;;;;;;Retinoic acid;
PLD3;;;;;;Retinoic acid;
DHRS2;;;;;;Retinoic acid;
STX3;;;;;;Retinoic acid;
MBD6;;;;;;Retinoic acid;
HOXC10;;;;;;Retinoic acid;
CD99;;;;;;Retinoic acid;
SYF2;;;;;;Retinoic acid;
PAIP1;;;;;;Retinoic acid;
GALNT12;;;;;;Retinoic acid;
MASTL;;;;;;Retinoic acid;
TTI1;;;;;;Retinoic acid;
RBBP5;;;;;;Retinoic acid;
SLC25A40;;;;;;Retinoic acid;
EPHB4;;;;;;Retinoic acid;
MOK;;;;;;Retinoic acid;
WNT7B;;;;;;Retinoic acid;
RNF182;;;;;;Retinoic acid;
SDCBP2;;;;;;Retinoic acid;
CCDC70;;;;;;Retinoic acid;
LEFTY1;;;;;;Retinoic acid;
SFRP5;;;;;;Retinoic acid;
SLIT1;;;;;;Retinoic acid;
POGLUT1;;;;;;Retinoic acid;
ETV2;;;;;;Retinoic acid;
CRADD;;;;;;Retinoic acid;
MKRN1;;;;;;Retinoic acid;
SMG8;;;;;;Retinoic acid;
UBE2D1;;;;;;Retinoic acid;
GALR2;;;;;;Retinoic acid;
DCTN6;;;;;;Retinoic acid;
IGSF21;;;;;;Retinoic acid;
TXNDC8;;;;;;Retinoic acid;
UTF1;;;;;;Retinoic acid;
SLITRK5;;;;;;Retinoic acid;
GPS2;;;;;;Retinoic acid;
TM4SF5;;;;;;Retinoic acid;
BFSP2;;;;;;Retinoic acid;
AURKC;;;;;;Retinoic acid;
11-Mar;;;;;;Retinoic acid;
VMA21;;;;;;Retinoic acid;
IRX2;;;;;;Retinoic acid;
CCDC88B;;;;;;Retinoic acid;
ZCCHC3;;;;;;Retinoic acid;
REG4;;;;;;Retinoic acid;
CPVL;;;;;;Retinoic acid;
PTPRG;;;;;;Retinoic acid;
UBE2H;;;;;;Retinoic acid;
MFSD12;;;;;;Retinoic acid;
LIPT1;;;;;;Retinoic acid;
ITPR3;;;;;;Retinoic acid;
B4GALT2;;;;;;Retinoic acid;
XYLT2;;;;;;Retinoic acid;
EML3;;;;;;Retinoic acid;
ITPKB;;;;;;Retinoic acid;
Map10;;;;;;Retinoic acid;
Smg7;;;;;;Retinoic acid;
Dbndd1;;;;;;Retinoic acid;
Ints4;;;;;;Retinoic acid;
Pym1;;;;;;Retinoic acid;
Rin3;;;;;;Retinoic acid;
Tmem229b;;;;;;Retinoic acid;
Klf2;;;;;;Retinoic acid;
Pde1b;;;;;;Retinoic acid;
Sfrp2;;;;;;Retinoic acid;
Prrg3;;;;;;Retinoic acid;
Itgb8;;;;;;Retinoic acid;
Snph;;;;;;Retinoic acid;
Lrrk2;;;;;;Retinoic acid;
Srgap1;;;;;;Retinoic acid;
Maats1;;;;;;Retinoic acid;
Crabp1;;;;;;Retinoic acid;
Hoxb9;;;;;;Retinoic acid;
Bcl2l11;;;;;;Retinoic acid;
Itm2a;;;;;;Retinoic acid;
Ankrd42;;;;;;Retinoic acid;
Bhlhe22;;;;;;Retinoic acid;
Cdh9;;;;;;Retinoic acid;
Zbtb40;;;;;;Retinoic acid;
Ak7;;;;;;Retinoic acid;
Tdgf1;;;;;;Retinoic acid;
Gap43;;;;;;Retinoic acid;
Tcp11;;;;;;Retinoic acid;
Kcnh2;;;;;;Retinoic acid;
Tubb3;;;;;;Retinoic acid;
Eef1akmt2;;;;;;Retinoic acid;
Card6;;;;;;Retinoic acid;
Ctif;;;;;;Retinoic acid;
Tmem161b;;;;;;Retinoic acid;
Snord104;;;;;;Retinoic acid;
Mir17hg;;;;;;Retinoic acid;
Arhgap8;;;;;;Retinoic acid;
Mrps22;;;;;;Retinoic acid;
PTGES;;;;;;Retinoic acid;
DKK1;;;;;;Retinoic acid;
SOX3;;;;;;Retinoic acid;
RPL39L;;;;;;Retinoic acid;
LYPD1;;;;;;Retinoic acid;
