"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD"
"359","IFIT2","Estrogen","DEG",-0.487161413093792,-0.698108953642981,0.0322382009343235,"NO"
"360","IFIT2","Androgen","DEG",-0.487161413093792,-0.698108953642981,0.0322382009343235,"NO"
"361","IFIT2","Progesterone","DEG",-0.487161413093792,-0.698108953642981,0.0322382009343235,"NO"
"362","IFIT2","Thyroid","DEG",-0.487161413093792,-0.698108953642981,0.0322382009343235,"NO"
"363","IGDCC3","Estrogen","DEG",-0.408062350921549,-0.631381359620707,0.0334588216734366,"NO"
"364","IGSF21","Retinoic","DEG",0.48237729525361,0.603077124740883,0.0312095652520264,"NO"
"368","INE1","Androgen","DEG",-0.404687376683847,-0.545315515639526,0.0227923807603651,"NO"
"369","ISL1","Estrogen","DEG",0.511871626143267,-0.127918435790856,0.0237644463235054,"NO"
"370","ISL1","Corticoid","DEG",0.511871626143267,-0.127918435790856,0.0237644463235054,"NO"
"373","JUND","Estrogen","PsychencodeTF",0.316855271225719,0.373091197321338,0.0313881338302605,"NO"
"374","JUND","Corticoid","PsychencodeTF",0.316855271225719,0.373091197321338,0.0313881338302605,"NO"
"375","JUND","Thyroid","PsychencodeTF",0.316855271225719,0.373091197321338,0.0313881338302605,"NO"
"378","KCNMA1","Thyroid","DEG",-0.658191306277336,-0.33457105881181,0.00365416453688898,"YES"
"379","KDM6B","Estrogen","DEG",0.284401937468137,0.540849688599816,0.00709214019357763,"YES"
"380","KDM6B","Thyroid","DEG",0.284401937468137,0.540849688599816,0.00709214019357763,"YES"
"381","KIRREL3","Thyroid","DEG",-0.0607707707788704,-0.514715235931321,0.0175908790360801,"YES"
"382","KLB","Thyroid","DEG",-0.35979964694198,-0.643872207045356,0.0277512629434646,"NO"
"383","KLF16","Retinoic","PsychencodeTF",0.342305269040887,0.497622050627645,0.029454171053968,"YES"
"384","KLF16","Thyroid","PsychencodeTF",0.342305269040887,0.497622050627645,0.029454171053968,"YES"
"385","KLF3","Estrogen","PsychencodeTF",0.288672190367931,0.215940412477141,0.0274444007155934,"NO"
"386","KLF3","PPAR","PsychencodeTF",0.288672190367931,0.215940412477141,0.0274444007155934,"NO"
"387","KLF9","Corticoid","PsychencodeTF",0.128777406954011,-0.395840239737478,0.0124797794290657,"NO"
"388","KLF9","Androgen","PsychencodeTF",0.128777406954011,-0.395840239737478,0.0124797794290657,"NO"
"389","KLF9","Thyroid","PsychencodeTF",0.128777406954011,-0.395840239737478,0.0124797794290657,"NO"
"390","KLF9","Progesterone","PsychencodeTF",0.128777406954011,-0.395840239737478,0.0124797794290657,"NO"
"391","KRT18","Thyroid","DEG",0.20628226706473,0.588369305254206,0.00106699356104667,"NO"
"392","KRT18","Corticoid","DEG",0.20628226706473,0.588369305254206,0.00106699356104667,"NO"
"393","KRT18","Estrogen","DEG",0.20628226706473,0.588369305254206,0.00106699356104667,"NO"
"394","KRT18","Progesterone","DEG",0.20628226706473,0.588369305254206,0.00106699356104667,"NO"
"395","KRT8","Androgen","DEG",0.401864564697718,0.719044774381668,0.00164487997582941,"NO"
"396","KRT8","Corticoid","DEG",0.401864564697718,0.719044774381668,0.00164487997582941,"NO"
"397","KRT8","Thyroid","DEG",0.401864564697718,0.719044774381668,0.00164487997582941,"NO"
"398","KRT8","Estrogen","DEG",0.401864564697718,0.719044774381668,0.00164487997582941,"NO"
"399","KRT8","PPAR","DEG",0.401864564697718,0.719044774381668,0.00164487997582941,"NO"
"400","LGALS1","Retinoic","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO"
"401","LGALS1","PPAR","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO"
"402","LGALS1","Androgen","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO"
"403","LGALS1","Thyroid","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO"
"404","LGALS1","Estrogen","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO"
"405","LGALS1","Progesterone","DEG",-0.0146357910287754,-0.569204461557846,0.0320806560799287,"NO"
"406","LGALS3","Androgen","DEG",-0.128899387801997,0.609277304948183,0.00309263272499865,"NO"
"407","LGALS3","Progesterone","DEG",-0.128899387801997,0.609277304948183,0.00309263272499865,"NO"
"408","LGALS3","Thyroid","DEG",-0.128899387801997,0.609277304948183,0.00309263272499865,"NO"
"414","LPL","Retinoic","DEG",0.491314262627829,0.498510043575508,0.0158553123886704,"NO"
