"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"118","CCDC86","Corticoid","DEG",0.289129013881499,0.54230868306167,0.0159389529439372
"119","CCDC86","Estrogen","DEG",0.289129013881499,0.54230868306167,0.0159389529439372
"120","CD74","Retinoic","DEG",0.0365941879882895,-0.397956361589273,0.233516644494659
"121","CD74","Estrogen","DEG",0.0365941879882895,-0.397956361589273,0.233516644494659
"122","CD74","PPAR","DEG",0.0365941879882895,-0.397956361589273,0.233516644494659
"123","CD74","Thyroid","DEG",0.0365941879882895,-0.397956361589273,0.233516644494659
"124","CEBPB","Thyroid","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"125","CEBPB","Androgen","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"126","CEBPB","Corticoid","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"127","CEBPB","Progesterone","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"128","CEBPB","Retinoic","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"129","CEBPB","PPAR","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"130","CEBPB","Estrogen","PsychencodeTF&DEG",0.59112746171814,0.580468031493807,0.0175515259034779
"131","CEBPD","Progesterone","PsychencodeTF",0.108434798434517,0.0929276781842397,0.945237907444192
"132","CEBPD","Corticoid","PsychencodeTF",0.108434798434517,0.0929276781842397,0.945237907444192
"133","CEBPD","Retinoic","PsychencodeTF",0.108434798434517,0.0929276781842397,0.945237907444192
"134","CEBPZ","Estrogen","PsychencodeTF",0.0767477241455026,-0.00865744174384,0.216149678388787
"135","CEL","Estrogen","DEG",-0.842467761686196,-0.295625072796856,0.0035486128610924
"136","CEL","Thyroid","DEG",-0.842467761686196,-0.295625072796856,0.0035486128610924
"137","CENPA","Progesterone","DEG",0.55724182373281,0.447381887892277,0.0267133519501787
"138","CENPA","Thyroid","DEG",0.55724182373281,0.447381887892277,0.0267133519501787
"139","CENPB","Progesterone","PsychencodeTF",0.0997016216463671,0.221288092777923,0.0170637621250047
"140","CENPB","Thyroid","PsychencodeTF",0.0997016216463671,0.221288092777923,0.0170637621250047
"141","CENPB","PPAR","PsychencodeTF",0.0997016216463671,0.221288092777923,0.0170637621250047
"142","CHST9","PPAR","DEG",0.124425752398506,-0.875916589142892,0.0211046606803789
"143","CLEC18B","PPAR","DEG",-0.41455256866648,-0.701224822727199,0.032550269507185
"144","CNN1","Progesterone","DEG",-0.477752798180282,-0.737184263054846,0.0236011533662439
"145","COL12A1","Estrogen","DEG",-0.57706816998572,-2.00465748908153,0.000528217557308281
"146","COL12A1","Thyroid","DEG",-0.57706816998572,-2.00465748908153,0.000528217557308281
"147","COL14A1","Progesterone","DEG",-0.415281403337354,-1.42816604579296,0.00549307939186351
"148","COL14A1","Thyroid","DEG",-0.415281403337354,-1.42816604579296,0.00549307939186351
"149","COL16A1","Thyroid","DEG",-0.351160445181752,-1.60459499895255,0.000302114510590987
"150","COL16A1","Retinoic","DEG",-0.351160445181752,-1.60459499895255,0.000302114510590987
"151","COL16A1","Progesterone","DEG",-0.351160445181752,-1.60459499895255,0.000302114510590987
"152","COL16A1","Estrogen","DEG",-0.351160445181752,-1.60459499895255,0.000302114510590987
"153","COL18A1","Estrogen","DEG",0.571802124558001,0.446182594442239,0.00715939162561959
"154","COL18A1","Thyroid","DEG",0.571802124558001,0.446182594442239,0.00715939162561959
"155","COL18A1","Progesterone","DEG",0.571802124558001,0.446182594442239,0.00715939162561959
"156","COL18A1","Corticoid","DEG",0.571802124558001,0.446182594442239,0.00715939162561959
"157","COL18A1","Retinoic","DEG",0.571802124558001,0.446182594442239,0.00715939162561959
"158","COL18A1","PPAR","DEG",0.571802124558001,0.446182594442239,0.00715939162561959
"159","COL1A1","Progesterone","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835
"160","COL1A1","Retinoic","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835
"161","COL1A1","PPAR","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835
"162","COL1A1","Thyroid","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835
"163","COL1A1","Estrogen","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835
"164","COL1A1","Corticoid","DEG",-0.277380167526793,-1.93311597902027,0.00152236339043835
"165","COL1A2","Progesterone","DEG",-0.311737572443864,-2.21440519556264,0.000657612606998377
"166","COL1A2","Thyroid","DEG",-0.311737572443864,-2.21440519556264,0.000657612606998377
"167","COL3A1","Thyroid","DEG",-0.356264282295414,-2.47024630242563,0.000485604023406727
"168","COL3A1","Progesterone","DEG",-0.356264282295414,-2.47024630242563,0.000485604023406727
"169","COL5A2","Estrogen","DEG",-0.137192140510986,-0.550423310552157,0.00375844717091622
"170","COL5A2","Progesterone","DEG",-0.137192140510986,-0.550423310552157,0.00375844717091622
"171","COL5A3","Thyroid","DEG",-0.490013458918549,-1.26569777474374,0.00795310467624935
"172","COL6A3","Progesterone","DEG",0.172415897977239,-1.57403081976256,0.00105517374919419
"173","COL6A3","Estrogen","DEG",0.172415897977239,-1.57403081976256,0.00105517374919419
"174","COL6A3","Thyroid","DEG",0.172415897977239,-1.57403081976256,0.00105517374919419
"175","COL8A2","Progesterone","DEG",-0.163772325151192,-0.306187038963989,0.408309980856245
"176","COL9A2","Retinoic","DEG",0.695062143900674,0.56945826193145,0.00328019970215548
"177","COLGALT2","Thyroid","DEG",0.544232106333767,0.232961790753671,0.015063089896998
"178","COX7B","Estrogen","DEG",-0.413426254745475,-0.369954768688896,0.00141749757330694
"179","COX7B","PPAR","DEG",-0.413426254745475,-0.369954768688896,0.00141749757330694
"180","COX7B","Thyroid","DEG",-0.413426254745475,-0.369954768688896,0.00141749757330694
"181","COX7B","Progesterone","DEG",-0.413426254745475,-0.369954768688896,0.00141749757330694
"182","CPED1","Thyroid","DEG",-0.372960059893656,-2.29379053622183,0.00172342996034594
"183","CPLX2","Thyroid","DEG",0.0883427243240045,0.083311266701862,0.838246613101595
"184","CPT1A","PPAR","DEG",0.0102887643545641,0.264139233829159,0.0673795248501483
"185","CPT1A","Estrogen","DEG",0.0102887643545641,0.264139233829159,0.0673795248501483
"186","CPT1A","Retinoic","DEG",0.0102887643545641,0.264139233829159,0.0673795248501483
"187","CREB3","PPAR","PsychencodeTF",-0.0157663189035482,0.0071127061265231,0.92301000023428
"188","CREB3","Estrogen","PsychencodeTF",-0.0157663189035482,0.0071127061265231,0.92301000023428
"189","CREB3","Thyroid","PsychencodeTF",-0.0157663189035482,0.0071127061265231,0.92301000023428
"190","CRISPLD2","Corticoid","DEG",0.628482527757186,0.101087205408324,0.0379432471031565
"191","CRISPLD2","Thyroid","DEG",0.628482527757186,0.101087205408324,0.0379432471031565
"192","CRISPLD2","Androgen","DEG",0.628482527757186,0.101087205408324,0.0379432471031565
"193","CRISPLD2","Estrogen","DEG",0.628482527757186,0.101087205408324,0.0379432471031565
"194","CRISPLD2","PPAR","DEG",0.628482527757186,0.101087205408324,0.0379432471031565
"195","CRYAB","Estrogen","DEG",0.138472226433233,0.707235044737769,0.00309263272499865
"196","CRYAB","Androgen","DEG",0.138472226433233,0.707235044737769,0.00309263272499865
"197","CRYAB","Corticoid","DEG",0.138472226433233,0.707235044737769,0.00309263272499865
"198","CRYAB","PPAR","DEG",0.138472226433233,0.707235044737769,0.00309263272499865
"199","CRYAB","Thyroid","DEG",0.138472226433233,0.707235044737769,0.00309263272499865
"200","CSAD","PPAR","DEG",-0.519211175986888,-0.384957903017939,0.0261243917535783
"201","CSAD","Corticoid","DEG",-0.519211175986888,-0.384957903017939,0.0261243917535783
"202","CSAD","Thyroid","DEG",-0.519211175986888,-0.384957903017939,0.0261243917535783
"203","CSAD","Estrogen","DEG",-0.519211175986888,-0.384957903017939,0.0261243917535783
"204","CTSK","PPAR","DEG",-0.300072207223094,-0.777062900256378,0.00146248596828294
"205","CTSK","Androgen","DEG",-0.300072207223094,-0.777062900256378,0.00146248596828294
"206","CTSK","Thyroid","DEG",-0.300072207223094,-0.777062900256378,0.00146248596828294
"207","CTSK","Estrogen","DEG",-0.300072207223094,-0.777062900256378,0.00146248596828294
"208","CXCL12","PPAR","DEG",0.0514153808071328,-0.610699101620344,0.0331414400810977
"209","CXCL12","Thyroid","DEG",0.0514153808071328,-0.610699101620344,0.0331414400810977
"210","CXCL12","Estrogen","DEG",0.0514153808071328,-0.610699101620344,0.0331414400810977
