"","Gene","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"FAM107A","FAM107A","DEG",-0.439795154875567,0.622949790193509,0.0149936706981429,"NO","Thyroid","NO","NO","NO","Androgen","NO","Corticoid"
"FAM183A","FAM183A","DEG",-0.14142429466422,0.594330259660008,0.0402444423535211,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"FAM83B","FAM83B","DEG",-0.962117509314738,0.254216471116469,0.0239090755665099,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"FBLN1","FBLN1","DEG",0.563728093706072,0.431424931465714,0.0273759069283273,"YES","Thyroid","NO","NO","NO","Androgen","NO","NO"
"FBLN5","FBLN5","DEG",0.0120755039420293,0.545254432997139,0.00539223729776914,"NO","Thyroid","Estrogen","NO","NO","NO","NO","NO"
"FHDC1","FHDC1","DEG",0.545980727637518,0.183473388633874,0.0156549161254998,"NO","NO","Estrogen","PPAR","Progesterone","Androgen","NO","Corticoid"
"FOXO3","FOXO3","PsychencodeTF",0.267809109723838,0.186411248646459,0.00134154704068129,"NO","NO","Estrogen","NO","Progesterone","NO","NO","Corticoid"
"FOXP2","FOXP2","PsychencodeTF&DEG",-0.57048773444805,0.0392195110355539,0.0495748997851194,"YES","NO","NO","NO","NO","Androgen","NO","NO"
"FRZB","FRZB","DEG",0.0364910942196361,0.715110970585281,0.0497089609382218,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"FSD2","FSD2","DEG",-0.483127665684022,-0.768742720144878,0.000574804829851546,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"FST","FST","DEG",-0.237767657546272,-0.787145597561572,0.00678189371689091,"NO","Thyroid","NO","NO","Progesterone","NO","NO","NO"
"GAD2","GAD2","DEG",0.493754604895527,1.08599202135316,0.0379362264293274,"YES","NO","NO","PPAR","NO","NO","NO","NO"
"GAR1","GAR1","DEG",0.528531735403872,0.648477841657875,0.034571319189588,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"GK3P","GK3P","DEG",-1.00989726403079,-1.09910043051502,0.0187559837064408,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"GLYCTK","GLYCTK","DEG",-0.562165613177689,-0.607612845073322,0.000323985735078871,"NO","NO","Estrogen","PPAR","NO","NO","NO","NO"
"GOLGA7B","GOLGA7B","DEG",-0.20746166172979,-0.612727236770675,0.0303815919909004,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"GOLGA8A","GOLGA8A","DEG",-0.425477365404927,-0.54247695500467,0.00079778918084412,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"GOLGA8B","GOLGA8B","DEG",-0.487325847839458,-0.59904953777438,0.000534755878262269,"YES","Thyroid","NO","PPAR","NO","NO","NO","NO"
"GPNMB","GPNMB","DEG",-0.228699922377794,0.564383590622833,0.00141749757330694,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
"GPR182","GPR182","DEG",-0.711748182198088,-1.03011268056562,0.0172480139569407,"NO","Thyroid","NO","PPAR","NO","NO","NO","NO"
"GPR82","GPR82","DEG",-0.518135060839304,-0.807786095142643,0.0316776880399385,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"GRB14","GRB14","DEG",-0.515442522941511,-0.0218124856126687,0.0487654624533458,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","NO","Corticoid"
"GREM1","GREM1","DEG",-0.166163090941713,-1.83763548416877,0.0018709763968082,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"GRHL1","GRHL1","PsychencodeTF",-0.17600581694507,-0.348999837665927,0.0372722818935804,"NO","Thyroid","Estrogen","PPAR","NO","NO","NO","Corticoid"
"GRHL3","GRHL3","DEG",-0.530398433010649,-0.984098821839543,0.0473804622750479,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"H19","H19","DEG",-0.343241678838916,-0.999636781182221,0.0087049194877047,"NO","NO","Estrogen","PPAR","NO","NO","Retinoic","NO"
"H1F0","H1F0","DEG",0.362721867589925,0.755919131938467,0.00419545106504913,"NO","NO","Estrogen","PPAR","NO","NO","Retinoic","Corticoid"
"H1FX","H1FX","DEG",0.439168600824731,0.518360863417708,0.00082138809680567,"NO","NO","Estrogen","NO","Progesterone","NO","NO","NO"
"H2AFX","H2AFX","DEG",0.591783350382836,0.625660509217545,0.00933137749159509,"NO","NO","Estrogen","NO","NO","Androgen","NO","Corticoid"
"HAP1","HAP1","DEG",-0.600276670624907,-0.291344216268987,0.0343567908389117,"NO","Thyroid","NO","NO","NO","NO","NO","NO"
"HES6","HES6","DEG",0.310443240151217,0.519036621920379,0.00783061595606716,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","NO","Corticoid"
"HMBOX1","HMBOX1","PsychencodeTF",-0.16766682765602,-0.244103744310247,0.0328401960770191,"YES","NO","NO","NO","NO","Androgen","NO","NO"
"HRC","HRC","DEG",-0.877256639233387,-1.18501646809886,0.00246176936126513,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"HS3ST2","HS3ST2","DEG",0.891846837248942,0.236085786581493,0.0257042382730993,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"HS3ST3A1","HS3ST3A1","DEG",0.567522356595309,0.0255630269456754,0.0242565598550736,"NO","NO","NO","PPAR","NO","NO","Retinoic","NO"
"HSF1","HSF1","PsychencodeTF",0.00802310130249666,0.145860394938002,0.0257237603788612,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"HSPB1","HSPB1","DEG",0.22004178138249,0.510704373200371,0.00270028914780575,"NO","Thyroid","Estrogen","PPAR","Progesterone","Androgen","NO","Corticoid"
"ID1","ID1","PsychencodeTF&DEG",0.585873456649562,0.455182340930405,0.0111299048497952,"NO","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"ID3","ID3","DEG",0.562627714483292,0.279668963530445,0.00610575121046428,"NO","Thyroid","Estrogen","PPAR","Progesterone","NO","Retinoic","Corticoid"
"IFIT2","IFIT2","DEG",-0.487161413093792,-0.698108953642981,0.0322382009343235,"NO","Thyroid","Estrogen","NO","Progesterone","Androgen","NO","NO"
"IGDCC3","IGDCC3","DEG",-0.408062350921549,-0.631381359620707,0.0334588216734366,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"IGSF21","IGSF21","DEG",0.48237729525361,0.603077124740883,0.0312095652520264,"NO","NO","NO","NO","NO","NO","Retinoic","NO"
"INE1","INE1","DEG",-0.404687376683847,-0.545315515639526,0.0227923807603651,"NO","NO","NO","NO","NO","Androgen","NO","NO"
"ISL1","ISL1","DEG",0.511871626143267,-0.127918435790856,0.0237644463235054,"NO","NO","Estrogen","NO","NO","NO","NO","Corticoid"
"JUND","JUND","PsychencodeTF",0.316855271225719,0.373091197321338,0.0313881338302605,"NO","Thyroid","Estrogen","NO","NO","NO","NO","Corticoid"
"KCNJ6","KCNJ6","DEG",-0.546037454353466,-0.080912450167666,0.00785643103534205,"NO","NO","NO","PPAR","NO","NO","NO","NO"
"KCNMA1","KCNMA1","DEG",-0.658191306277336,-0.33457105881181,0.00365416453688898,"YES","Thyroid","NO","NO","NO","NO","NO","NO"
"KDM6B","KDM6B","DEG",0.284401937468137,0.540849688599816,0.00709214019357763,"YES","Thyroid","Estrogen","PPAR","NO","NO","NO","NO"
