"","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"DDIT4L",0.716754079749823,0.587743144162443,0.00610575121046428
"ID3",0.562627714483292,0.279668963530445,0.00610575121046428
"DCN",-0.188022171899347,-1.27122583957837,0.00610575121046428
"TENM1",-0.373330620379897,-0.578024151784242,0.00611519486325499
"ADGRL2",-0.0298275939718595,-0.604584580097358,0.00629381287410503
"WNT10B",-0.0680960625322322,-0.880285345087491,0.00640476628931998
"FST",-0.237767657546272,-0.787145597561572,0.00678189371689091
"TAC3",-0.961025977403657,0.353208822109523,0.0069184028725457
"KDM6B",0.284401937468137,0.540849688599816,0.00709214019357763
"COL18A1",0.571802124558001,0.446182594442239,0.00715939162561959
"BNC2",-0.162343361306179,-0.997317188949141,0.00743214564780831
"TTYH3",0.375147665772667,0.524040521297192,0.00769871500476951
"HES6",0.310443240151217,0.519036621920379,0.00783061595606716
"KCNJ6",-0.546037454353466,-0.080912450167666,0.00785643103534205
"COL5A3",-0.490013458918549,-1.26569777474374,0.00795310467624935
"S1PR3",0.207693462868085,0.801589013743214,0.00796247350056941
"RFX5",-0.149819885565329,-0.277358620409869,0.00806620323534747
"WNT1",0.423573429994129,-0.730590399935368,0.00812050501252125
"PLIN4",-0.554226613794866,-0.706970012249201,0.00838034354937297
"NQO1",0.18825517156082,0.598139621362394,0.00848403268924318
"FABP3",-0.547946273996443,-0.508394794752759,0.00848437409960864
"H19",-0.343241678838916,-0.999636781182221,0.0087049194877047
"VIPR2",-0.140742348888102,-0.777192125500756,0.00878281857264891
"NR2C1",-0.233385652912258,-0.278303763025911,0.00889259014875534
"RABAC1",0.310941658278264,0.500480348660053,0.00925825084647579
"H2AFX",0.591783350382836,0.625660509217545,0.00933137749159509
"NR3C2",0.0251848831344553,0.309674349192996,0.00980355612381733
"OLFM3",0.514656950529577,0.17292364895133,0.00985638172346825
"DPF3",-0.312849811682775,-0.896524761335032,0.0101344038510078
"DAAM2",-0.22065612733336,-0.648890342313847,0.0102386981404904
"CCDC85B",0.98394542808839,1.02977125591527,0.0103853940831626
"MFAP2",0.366644891915329,0.122791262673627,0.0105860303172066
"PLXND1",-0.164453869632421,-0.629994671421812,0.010700450763746
"METRN",0.644241602191328,0.549340339271685,0.0108409002069748
"SREBF1",0.0700592232221859,0.243214932303609,0.0108409002069748
"MPZ",-0.762347736914744,-1.0897938427189,0.0109526060459043
"PKMYT1",0.813205610892794,0.765920362345957,0.0110282186376626
"NR1D2",0.185273672893754,0.132422752842898,0.0110802969988135
"ID1",0.585873456649562,0.455182340930405,0.0111299048497952
"RIBC2",-0.30659794902181,0.525694532265161,0.0113367525386081
"ACRBP",-0.463221498139088,-0.777316533008405,0.0113367525386081
"RBPMS",-0.170802792871547,-0.646108611308362,0.0114019217486277
"SEMA3E",0.142133965550698,-0.761620086207425,0.0115035439102171
"OLFML1",-0.614685879596943,-1.07848870575928,0.0117761858077858
"EFNA5",0.510440046202,-0.124554051449789,0.0120667406550169
"ABLIM3",-0.218519798686307,-0.525698080023211,0.0120667406550169
"SNAI1",0.0545433234358656,-0.541419583116797,0.0120667406550169
"MYO7A",-0.639576287784323,-0.157307059749421,0.0124512358627232
"CALB1",0.615933590365786,0.259355927342253,0.0124797794290657
"KLF9",0.128777406954011,-0.395840239737478,0.0124797794290657
"MGP",-0.762739966870707,-1.62042704088065,0.0124797794290657
"SH3GL2",-0.433489469014214,-0.810540400636312,0.012680517299392
"PLCXD3",-0.127035460941804,-0.548821925221212,0.0133923073243061
"RAB26",-0.117866858854822,-0.684002747643874,0.0133923073243061
"OGN",-0.163652616295894,-0.933801424490712,0.0134399319229003
"VGF",0.772946716568579,0.701722788753423,0.0135053494202163
"BEAN1",-0.494740571201158,-0.692416386587935,0.0136364924143463
"SMIM5",-0.774446309998392,-0.600871116147106,0.0140726293550013
"ADAM20",-0.680251683339829,-0.727917387697188,0.0143396356171099
"XDH",-0.532514049019781,-0.51573478956978,0.0144682100723212
"DRD2",0.170673560788749,-0.657846670591523,0.0147116784345164
"FAM107A",-0.439795154875567,0.622949790193509,0.0149936706981429
"COLGALT2",0.544232106333767,0.232961790753671,0.015063089896998
"BRD3",0.492718962897705,0.589662449173081,0.0152055342752791
"FHDC1",0.545980727637518,0.183473388633874,0.0156549161254998
"MYRF",-0.286073128108582,-0.571688493994786,0.0156743915663263
"APOBEC2",-0.585092468553657,-0.710182021067935,0.0158417080342668
"LPL",0.491314262627829,0.498510043575508,0.0158553123886704
"SLC9A4",-0.479547888351676,-0.644142094985993,0.0159060518454157
"CCDC86",0.289129013881499,0.54230868306167,0.0159389529439372
"P2RX7",-0.17328863443941,-0.900516953259507,0.0160290087429754
"TNFRSF25",-0.611497409909829,-0.652058341237613,0.0163571299935814
"PTCH2",-1.07668020025538,-0.998660322871019,0.0165465205332872
"MZT2B",0.428369162797042,0.505957356835784,0.0167112104566836
"BCL11B",0.302632587606205,0.358690507925577,0.0168330490287992
"STAG3L1",-0.685405683776369,-0.686129036643806,0.0169462503500667
"CENPB",0.0997016216463671,0.221288092777923,0.0170637621250047
"NDUFS7",0.416357230539055,0.600994596835162,0.0171057297040959
"GPR182",-0.711748182198088,-1.03011268056562,0.0172480139569407
"CEBPB",0.59112746171814,0.580468031493807,0.0175515259034779
"KIRREL3",-0.0607707707788704,-0.514715235931321,0.0175908790360801
"MRPL12",0.515096073802244,0.85462463736436,0.0178394968256398
"MUSTN1",-0.557644309390601,-0.727518748633478,0.0179184188756097
"DNAJA4",0.00813750611144551,-0.684412559635187,0.0184804085793337
"ABCC9",-0.403909464484482,-0.502715872065733,0.0184806623276838
"RHOF",0.183625591734369,0.715971596045201,0.0185342185483846
"CCDC124",0.420711536468938,0.535296957996334,0.0185342185483846
"GK3P",-1.00989726403079,-1.09910043051502,0.0187559837064408
"NFE2L1",0.0248099757865733,0.193026154691834,0.0193324560443889
"ARPP21",-0.374848983800243,-0.806378752854424,0.0198129271855625
"DKKL1",0.202259340288256,0.553302818779032,0.0198513466710138
"TM4SF1",0.53726292941247,-0.278085601702988,0.019974026622754
"SH3TC2",0.841960385598456,0.596740992388425,0.0209715799281685
"TFPI",0.132745144675113,-0.570880792049009,0.0211046606803789
"CHST9",0.124425752398506,-0.875916589142892,0.0211046606803789
"C4orf48",1.00296175477924,1.13868814058214,0.0221409206971639
"ARNT2",0.196113227514918,0.212381495046142,0.0224030541508607
"SOX9",0.326612182076027,0.380690548528021,0.0224030541508607
"WFDC2",0.413385078796987,0.955957834124166,0.0225882180107447
"SALL4",-0.309178249333693,-0.914568963569872,0.0226152037311354
"NKD2",-0.262834848570132,-0.844675245164736,0.0226793050219415
"TSNAXIP1",-0.584588457167623,-0.352233789756161,0.0227099091022657
"INE1",-0.404687376683847,-0.545315515639526,0.0227923807603651
"TGM1",-0.766146397741939,-0.65144800757696,0.023560157084707
"CNN1",-0.477752798180282,-0.737184263054846,0.0236011533662439
"ISL1",0.511871626143267,-0.127918435790856,0.0237644463235054
"SNAI2",-0.135458250531502,-0.932039325864206,0.0237644463235054
"DKK1",-0.526828026118269,-1.11058230311558,0.0239090755665099
"MGAT4C",-0.102868831887314,-0.643309520058905,0.0239090755665099
"FAM83B",-0.962117509314738,0.254216471116469,0.0239090755665099
"STAT2",-0.23953640075815,-0.231567077391035,0.0240047798203982
"HS3ST3A1",0.567522356595309,0.0255630269456754,0.0242565598550736
"SEMA3A",-0.0832614838935333,-0.625372575063252,0.0251243056183106
"HS3ST2",0.891846837248942,0.236085786581493,0.0257042382730993
"HSF1",0.00802310130249666,0.145860394938002,0.0257237603788612
"USP6",-0.518301643815809,-0.493535842293208,0.026085166052587
"TLE2",-0.323516447597374,-0.822431505724464,0.026085166052587
"CSAD",-0.519211175986888,-0.384957903017939,0.0261243917535783
"RUNX1",0.389656553235118,-0.793374866099189,0.0262050751823174
"PRDM16",0.243105999603711,0.431469420297398,0.0266221411414178
"PABPC1L",-0.574583605984179,-0.321335910355615,0.0267133519501787
"CENPA",0.55724182373281,0.447381887892277,0.0267133519501787
"FBLN1",0.563728093706072,0.431424931465714,0.0273759069283273
"KLF3",0.288672190367931,0.215940412477141,0.0274444007155934
"KLB",-0.35979964694198,-0.643872207045356,0.0277512629434646
"ANKRD37",0.111606838644086,0.537055120560275,0.0278612170125493
"CA13",-0.330024624990828,-0.590366492756576,0.0287009687999792
"P2RY14",-0.625015417104674,-1.0029096989946,0.0289595412706884
"AKR1C2",-0.345391449967661,-0.583948903261972,0.0290154001636307
"KLF16",0.342305269040887,0.497622050627645,0.029454171053968
"LSM10",0.480359842883233,0.940157242278284,0.0295274623508717
"DES",-0.0709773395562318,-0.749341118793084,0.0297055929586817
"TACC3",0.652504603576135,0.727787430359096,0.0299304460635601
"E2F3",0.324620731855959,0.159544508015238,0.0299804833772516
"GOLGA7B",-0.20746166172979,-0.612727236770675,0.0303815919909004
"TWIST1",-0.0714762104482882,-1.39517291791241,0.0304693649306935
"TXN2",0.238239199363567,0.541762322050727,0.0308631230305469
